


Company,Contacts,URL,"Company Description",Round,Date,Amount,"Round Investors","All Investors","Total Funding",Sector,Industry,Sub-Industry,Country,State,City
"Coupa Software",229,http://www.coupa.com,"Founded in 2006, Coupa Software provides an enterprise-class, organic suite of cloud solutions proven to reduce the cost of doing business by making it super easy for employees to make better decisions. More than 400 customers use the Coupa suite of cloud applications to amplify their spend power and reduce spending costs up to 11 percent. Only Coupa provides a suite of true cloud applications for finance, including procurement, expense management and accounts payable that can be launched quickly for significant savings.","Series A",2007-03-09,1.5,"BlueRun Ventures","Battery Ventures;Blue Run Ventures;BlueRun Ventures;Crosslink Capital;El Dorado Ventures;ICONIQ Capital;Lead Edge Capital;Meritech Capital Partners;Mohr Davidow Ventures;Northgate Capital;PremjiInvest;Public;Rally Ventures;T. Rowe Price",169,Internet,"Internet Software & Services","Billing, Expense Management and Procurement","United States",California,"San Mateo"
Chegg,89,http://www.chegg.com,"Chegg is a student-first connected learning platform, empowering students to take control of their education to save time, save money and get smarter. Chegg is driven by our passion to help students become active consumers in the educational process. The company's integrated platform, Student Hub, offers products and services that students need throughout the college lifecycle, from choosing a college through graduation and beyond. Its Student Graph builds on the information generated through students' and other participants' use of the platform to increasingly enrich the experience for participants as it grows in scale and power the Student Hub. By helping students learn more in less time and at a lower cost, we help them improve the overall return on investment in education.","Series A",2007-01-16,2.2,"Floodgate;Gabriel Venture Partners","Ace Limited;Active Starts;Correlation Ventures;Floodgate;Foundation Capital;Gabriel Venture Partners;GSV Capital;Industry Ventures;Insight Venture Partners;Kleiner Perkins Caufield & Byers;Millennium Technology Value Partners;Pinnacle Ventures;Primera Capital;Public;TriplePoint Capital",248.6,Internet,eCommerce,"Music, Video, Books & Entertainment","United States",California,"Santa Clara"
Carbonite,243,http://www.carbonite.com,"Carbonite is a leading provider of cloud and hybrid business continuity solutions for small and midsized businesses. The company's cloud and hybrid data protection combines advanced backup, rapid recovery and anytime, anywhere access to help businesses stay connected to their data under any conditions - natural disasters and local interruptions included.","Series A",2006-12-19,6,"3i Group;Converge Venture Partners;Keiretsu Forum","3i Group;Boston Harbor Angels;Converge Venture Partners;Crosslink Capital;Institutional Venture Partners;Keiretsu Forum;Menlo Ventures;Performance Equity Management;Public;Stage 1 Ventures",61,Internet,"Internet Software & Services","Data Storage","United States",Massachusetts,Boston
Box,676,http://www.box.com,"Box is a provider of tools for managing and sharing data online. The service allows users to share, access, and collaborate on files of any type from anywhere. Per the company, they have nearly 2 million users, over 1 million files served every day, and more than 1000 developers in the Box Enabled Network, and the service is used by individuals, small businesses, and Fortune 1000 companies.","Series A",2006-10-20,1.5,DFJ,"A-Grade;Andreessen Horowitz;Bessemer Venture Partners;Coatue Management;DFJ;DFJ Growth Fund;DST Global;Emergence Capital Partners;General Atlantic;Hercules Capital;Intel Capital;ITOCHU Technology Ventures;Macnica;Mark Cuban;Meritech Capital Partners;Mitsui & Co. (U.S.A.);New Enterprise Associates;Public;Salesforce Ventures;Sapphire Ventures;Scale Venture Partners;Social Capital;Telefonica Ventures;Telstra Ventures;TPG Growth;Undisclosed Investors;US Venture Partners;XG Ventures",562.46,Internet,"Internet Software & Services","Data Storage","United States",California,"Los Altos"
IZEA,63,http://www.izea.com,"IZEA, formerly PayPerPost, is a marketplace for consumer generated advertising. The Izea platform connects advertisers with a network of bloggers and other consumer content creators throughout the blogosphere and social networks. It operates properties such as SocialSpark, PayPerPost, Zookoda, Bloggers Choice Awards and RockStartup.","Series A",2006-10-20,3,"DFJ;Inflexion Partners;Village Ventures","DFJ;Gotham Ventures;Inflexion Partners;Public;Village Ventures",10,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",Florida,"Winter Park"
"Marin Software",23,http://www.marinsoftware.com,"Marin Software is a provider of online advertising management solutions, offering an integrated platform for managing search, social, display, and mobile marketing. The company provides solutions for advertisers and agencies, enabling them to improve financial performance, save time, and make better decisions. Marin Enterprise, the company's flagship product, addresses the needs of online marketers on biddable media. Marin Professional delivers the same power and ease of use as Marin Enterprise, through an application designed for marketers spending less than $100,000 per month.  In March 2013, Marin Software went public.","Series A",2006-10-09,2.5,"Amicus Capital;Undisclosed Venture Investors","Amicus Capital;Benchmark;Crosslink Capital;DAG Ventures;Focus Ventures;Public;Sapphire Ventures;Temasek Holdings;Triangle Peak Partners;Undisclosed Investors;Undisclosed Venture Investors",100.76,Internet,"Internet Software & Services","Advertising, Sales & Marketing","United States",California,"San Francisco"
Telaria,11,http://www.telaria.com,"Telaria, formerly Tremor Video, is an independent data-driven software platform built to monetize and manage premium video inventory with the greatest speed, control, and transparency, wherever and however audiences are watching.","Series A",2006-09-13,8.4,"Canaan Partners;Masthead Venture Partners","Canaan Partners;DFJ Growth Fund;EDBI;European Founders Fund;First Round Capital;General Catalyst;Keating Capital;Masthead Venture Partners;Meritech Capital Partners;Millennium Technology Value Partners;Public;Relay Ventures;Sapphire Ventures;Time Warner Investments;Triangle Peak Partners;W Capital Partners",116.4,Internet,"Internet Software & Services",Video,"United States","New York","New York"
"OnDeck Capital",250,http://www.ondeck.com,"OnDeck Capital uses data aggregation and electronic payment technology to evaluate the financial health of small businesses and to efficiently deliver capital to a market underserved by traditional bank loans. Through the OnDeck Capital platform, small businesses can obtain affordable loans to meet daily operating and long term goals. The company's platform looks deeper into the health of small businesses, focusing on the overall business performance, rather than the owner's personal credit history. The OnDeck system also provides a critically needed mechanism for commercial institutions to efficiently reach and serve the historically underserved Main Street small businesses market.","Series A",2006-08-20,2,"Contour Venture Partners;First Round Capital;Village Ventures","Contour Venture Partners;Deutsche Bank;First Round Capital;Fortress Investment Group;Foundation Capital;Goldman Sachs;Google Ventures;Industry Ventures;Institutional Venture Partners;KeyCorp;Khosla Ventures;Lighthouse Capital Partners;Peter Thiel;Public;RRE Ventures;Sapphire Ventures;SF Capital Group;Square 1 Bank;Tiger Global Management;Village Ventures",394,Internet,"Internet Software & Services","Accounting & Finance","United States","New York","New York"
"SailPoint Technologies",250,http://www.sailpoint.com,"SailPoint is an independent identity and access management (IAM) provider and helps the world's largest organizations securely and effectively deliver and manage user access from any device to data and applications residing in the datacenter, on mobile devices, and in the cloud. The company's innovative product portfolio offers customers an integrated set of core services including identity governance, provisioning, and access management delivered on-premises or from the cloud (IAM-as-a-service).","Series A",2006-08-03,4.5,"Austin Ventures;Lightspeed Venture Partners;Origin Partners;Silverton Partners","Austin Ventures;CenterPoint Ventures;Lightspeed Venture Partners;Origin Partners;Public;Silverton Partners;Thoma Bravo;Undisclosed Investors",26.08,Internet,"Internet Software & Services",Compliance,"United States",Texas,Austin
"Carbon Black",29,http://www.carbonblack.com,"Carbon Black (NASDAQ: CBLK), formerly Bit9, has designed the most complete next-gen endpoint-security platform, enabling organizations to stop the most attacks, see every threat, close security gaps, and evolve their defenses. The Cb Endpoint Security Platform helps organizations of all sizes replace legacy antivirus technology, lock down systems, and arm incident response teams with advanced tools to proactively hunt down threats.","Series A",2006-07-10,9.8,"Accomplice;Highland Capital Partners;Kleiner Perkins Caufield & Byers",".406 Ventures;Accomplice;Blackstone Group;Evolution Equity Partners;Founders Circle Capital;Highland Capital Partners;Kleiner Perkins Caufield & Byers;Public;Sequoia Capital;Undisclosed Venture Investors",191.43,Internet,"Internet Software & Services","Monitoring & Security","United States",Massachusetts,Waltham
SmartSheet,146,http://www.smartsheet.com,"Smartsheet, a Software as a Service (SaaS) company, offers businesses an intuitive collaboration and work management tool. The ease of use of the familiar spreadsheet-like interface, coupled with file sharing, work automation and Gantt chart features, have made it a popular and highly functional collaboration and project management tool. Smartsheet is used by teams across more than 165 countries to organize, plan and execute a broad spectrum of projects and processes, including marketing campaigns, product launches, business operations, events, strategic planning and HR initiatives. Customers include construction companies, consulting firms, schools and universities, utility firms, government entities, healthcare organizations, high-tech firms, non-profits, manufacturing and law firms, among others. Additionally, Smartsheet offers mobile apps, pre-built templates and integrations with leading cloud apps such as Box, Dropbox, Salesforce, Google Drive and Zapier to ensure users are up and running quickly.","Series A",2006-06-22,0.55,"Undisclosed Investors","Brent Frei;Insight Venture Partners;Madrona Venture Group;Public;Summit Partners;Sutter Hill Ventures;Undisclosed Investors",121.4,Internet,"Internet Software & Services","Collaboration & Project Management","United States",Washington,Bellevue
Etsy,27,http://www.etsy.com,"Etsy operates a marketplace where people around the world connect, both online and offline, to make, sell, and buy unique goods. Handmade goods are the foundation of its marketplace. Whether crafted by an Etsy seller, with the assistance of a team or with an outside manufacturer in small batches, handmade goods spring from the imagination and creativity of an Etsy seller and embody authorship, responsibility, and transparency.","Series A",2006-06-08,1,"Albert Wenger;Burda Principal Investments;Caterina Fake;Eckford Group;Index Ventures;Joshua Schachter;Payman Pouladdej;Stewart Butterfield;Union Square Ventures","Accel;Acton Capital Partners;Albert Wenger;Breyer Capital;Burda Principal Investments;Caterina Fake;Eckford Group;Index Ventures;Joshua Schachter;Payman Pouladdej;Public;Stewart Butterfield;Union Square Ventures;XAnge Private Equity",94.61,Internet,eCommerce,Marketplace,"United States","New York",Brooklyn
"Leaf Group",172,http://www.leafgroup.com,"Demand Media is a diversified Internet company comprised of several media and marketplace properties. Through a portfolio of vertical web properties, a global network of digital partners, and a breakthrough content studio, Demand Media publishes items that inform, entertain, and connect millions of people every day.","Series A",2006-05-02,,"Generation Partners;Oak Investment Partners;Spectrum Equity","3i Group;Coffin Capital & Ventures;Generation Partners;Goldman Sachs;Oak Investment Partners;Public;Spectrum Equity;St. Cloud Capital;W Capital Partners",235,Internet,"Internet Software & Services","Information Providers & Portals","United States",California,"Santa Monica"
Redfin,373,http://www.redfin.com,"Redfin (NASDAQ: RDFN) is a technology-powered residential real estate brokerage that represents people buying and selling homes in over 80 markets throughout the United States. The company meets customers through its listings-search website and mobile application, reducing the marketing costs that can keep fees high. Redfin lets homebuyers schedule home tours with a few taps of a mobile-phone button, and provides an immersive online experience for every Redfin-listed home and then promotes that listing to more buyers than any traditional brokerage can reach through its own website. The platform uses machine learning to recommend better listings than any customer could find on their own.","Series A",2006-01-20,1.25,"Madrona Venture Group","Annox Capital;BEV Capital;Brothers Brook;DFJ;Globespan Capital Partners;Glynn Capital Management;Greylock Partners;Madrona Venture Group;Public;T. Rowe Price;The Hillman Company;Tiger Global Management;Vulcan Capital;Wellington Management",166.95,Internet,"Internet Software & Services","Real Estate","United States",Washington,Seattle
